student_id,branch,semester,cgpa,tenth_percentage,twelfth_percentage,backlogs_history,active_backlogs,quantitative_aptitude,logical_reasoning,coding_benchmark,skills_python,skills_java,skills_cpp,skills_dsa,skills_sql,skills_web,skills_cloud,skills_ml,internships,projects_count,certifications_count,hackathons,communication_rating,interview_rating,primary_track,placement_probability,readiness_status,placed
STU-2026-00001,ISE,7,6.71,76.0,55.6,0,0,77.4,49.8,57.6,5.8,4.3,4.9,6.1,9.4,10.0,5.2,9.3,0,3,0,0,6.5,7.1,Data Analyst / ML Engineer,96.9,Ready,1
STU-2026-00002,Civil,7,9.75,84.8,88.9,0,0,99.0,99.0,92.6,9.0,6.9,6.8,7.5,10.0,4.4,5.2,10.0,0,1,1,0,5.5,7.7,Data Analyst / ML Engineer,99.7,Ready,1
STU-2026-00003,ECE,7,9.23,88.5,79.0,0,0,97.9,90.1,62.2,3.5,8.6,4.7,4.2,0.0,6.7,1.9,6.9,1,3,1,0,6.3,9.0,Core Systems / SDE,92.5,Ready,1
STU-2026-00004,ECE,6,8.2,85.0,60.0,0,0,78.5,98.0,65.1,7.6,6.5,4.1,7.1,0.0,2.6,3.5,10.0,1,2,1,1,7.3,8.6,Core Systems / SDE,94.7,Ready,1
STU-2026-00005,CSE,6,7.02,82.2,69.2,2,1,97.1,73.8,64.0,7.3,5.5,7.9,5.8,10.0,10.0,3.3,10.0,0,0,3,4,7.3,6.2,Data Analyst / ML Engineer,81.6,Ready,1
STU-2026-00006,CSE,7,8.72,85.9,86.6,0,0,93.5,85.2,79.2,6.5,7.6,9.1,8.5,0.0,10.0,3.0,9.8,1,4,3,1,7.6,9.2,Core Systems / SDE,99.1,Ready,1
STU-2026-00007,CSE,7,6.15,60.7,62.0,3,1,71.7,67.7,90.7,7.6,8.0,7.2,7.5,8.7,10.0,1.9,6.0,1,2,1,0,8.2,7.4,Core Systems / SDE,95.8,Ready,1
STU-2026-00008,Mech,7,8.58,97.1,84.4,0,0,94.8,88.8,65.8,6.2,7.2,7.8,0.0,9.3,5.9,3.7,8.1,2,3,1,0,6.9,8.3,Data Analyst / ML Engineer,97.1,Ready,1
STU-2026-00009,ECE,7,8.42,88.4,77.7,0,0,81.5,90.9,62.5,7.5,4.8,3.1,7.2,10.0,2.9,1.8,7.4,1,2,0,1,5.9,9.1,Data Analyst / ML Engineer,98.7,Ready,1
STU-2026-00010,ECE,7,7.23,81.7,63.1,1,1,58.6,71.8,65.0,3.4,8.6,4.0,8.4,8.1,4.6,1.4,4.8,0,1,2,2,7.9,7.5,Core Systems / SDE,91.7,Ready,1
